Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Materials,fe3_o2,al2_o3,ca_o,mg_o,s_o3,loi,fine,gravity,na2_si_o3,na_o_h,fine_aggregates,coarse_aggregates,bulk_density,fineness_modulus,water_absorption,duration,temperature,totalCostsTon,totalCo2_footprintTon,totalDelivery_time,fc_28dGroundTruth,fc_28d_Lab_validation
10,380,209.0,0.55,15.2,1795.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,86.84,86.28,5,49.86,NaN
11,380,228.0,0.6,15.2,1776.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,89.21,90.56,5,46.98,NaN
12,390,175.5,0.45,15.6,1818.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,83.42,79.77,5,56.1,NaN
13,390,195.0,0.5,15.6,1799.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,85.84,84.16,5,60.08,NaN
14,390,214.5,0.55,15.6,1779.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,88.26,88.55,5,49.0,NaN
15,390,234.0,0.6,15.6,1760.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,90.69,92.94,5,47.13,NaN
16,400,180.0,0.45,16.0,1804.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,84.71,81.82,5,56.36,NaN
17,400,200.0,0.5,16.0,1784.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,87.2,86.32,5,60.18,NaN
18,400,220.0,0.55,16.0,1764.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,89.68,90.82,5,48.14,NaN
19,400,240.0,0.6,16.0,1744.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,92.17,95.33,5,47.28,NaN
20,410,184.5,0.45,16.4,1789.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,86.01,83.86,5,56.62,NaN
21,410,205.0,0.5,16.4,1769.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,88.56,88.48,5,60.28,NaN
22,410,225.5,0.55,16.4,1748.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,91.11,93.09,5,47.28,NaN
23,410,246.0,0.6,16.4,1728.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,93.65,97.71,5,47.43,NaN
24,420,189.0,0.45,16.8,1775.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,87.31,85.91,5,56.86,NaN
25,420,210.0,0.5,16.8,1754.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,89.92,90.64,5,60.38,NaN
26,420,231.0,0.55,16.8,1733.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,92.53,95.37,5,46.48,NaN
27,420,252.0,0.6,16.8,1712.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,95.14,100.09,5,47.57,NaN
28,430,193.5,0.45,17.2,1760.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,88.6,87.95,5,54.14,NaN
29,430,215.0,0.5,17.2,1739.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,91.27,92.79,5,59.75,NaN
30,430,236.5,0.55,17.2,1717.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,93.95,97.64,5,47.15,NaN
31,430,258.0,0.6,17.2,1696.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,96.62,102.48,5,47.59,NaN
32,440,198.0,0.45,17.6,1746.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,89.9,90.0,5,51.9,NaN
33,440,220.0,0.5,17.6,1724.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,92.63,94.95,5,59.23,NaN
34,440,242.0,0.55,17.6,1702.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,95.37,99.91,5,47.71,NaN
35,440,264.0,0.6,17.6,1680.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,98.1,104.86,5,47.61,NaN
36,450,202.5,0.45,18.0,1731.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,91.19,92.04,5,48.91,NaN
37,450,225.0,0.5,18.0,1709.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,93.99,97.11,5,58.53,NaN
38,450,247.5,0.55,18.0,1686.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,96.79,102.18,5,48.45,NaN
39,450,270.0,0.6,18.0,1664.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,99.58,107.24,5,47.64,NaN
40,360,162.0,0.45,14.4,1862.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,95.53,96.08,5,61.96,NaN
41,360,180.0,0.5,14.4,1844.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,97.77,100.14,5,65.26,NaN
42,360,198.0,0.55,14.4,1826.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,100.0,104.19,5,53.39,NaN
43,360,216.0,0.6,14.4,1808.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,102.24,108.25,5,52.4,NaN
44,370,166.5,0.45,14.8,1847.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,96.83,98.13,5,61.22,NaN
45,370,185.0,0.5,14.8,1829.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,99.13,102.3,5,65.09,NaN
46,370,203.5,0.55,14.8,1810.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,101.42,106.46,5,52.93,NaN
47,370,222.0,0.6,14.8,1792.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,103.72,110.63,5,51.9,NaN
48,380,171.0,0.45,15.2,1833.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,98.12,100.18,5,60.47,NaN
49,380,190.0,0.5,15.2,1814.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,100.48,104.45,5,64.93,NaN
50,380,209.0,0.55,15.2,1795.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,102.84,108.73,5,52.46,NaN
51,380,228.0,0.6,15.2,1776.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,105.21,113.01,5,51.4,NaN
52,390,175.5,0.45,15.6,1818.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,99.42,102.22,5,59.73,NaN
53,390,195.0,0.5,15.6,1799.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,101.84,106.61,5,64.76,NaN
54,390,214.5,0.55,15.6,1779.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,104.26,111.0,5,52.0,NaN
55,390,234.0,0.6,15.6,1760.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,106.69,115.39,5,50.9,NaN
56,400,180.0,0.45,16.0,1804.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,100.71,104.27,5,58.98,NaN
57,400,200.0,0.5,16.0,1784.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,103.2,108.77,5,64.6,NaN
58,400,220.0,0.55,16.0,1764.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,105.68,113.27,5,51.54,NaN
59,400,240.0,0.6,16.0,1744.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,108.17,117.78,5,50.41,NaN
60,410,184.5,0.45,16.4,1789.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,102.01,106.31,5,58.24,NaN
61,410,205.0,0.5,16.4,1769.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,104.56,110.93,5,64.43,NaN
62,410,225.5,0.55,16.4,1748.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Heat curing (Rao et al.)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,60,107.11,115.54,5,51.07,NaN
