Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
133,420,195.0,0.5,15.6,1799.0,0.6,0.4,60,59.86
134,420,214.5,0.55,15.6,1779.5,0.6,0.4,60,56.19
135,420,234.0,0.6,15.6,1760.0,0.6,0.4,60,53.96
136,410,180.0,0.45,16.0,1804.0,0.6,0.4,60,57.75
137,410,200.0,0.5,16.0,1784.0,0.6,0.4,60,60.68
138,410,220.0,0.55,16.0,1764.0,0.6,0.4,60,57.12
139,410,240.0,0.6,16.0,1744.0,0.6,0.4,60,54.87
140,400,184.5,0.45,16.4,1789.5,0.6,0.4,60,58.29
141,400,205.0,0.5,16.4,1769.0,0.6,0.4,60,61.51
142,400,225.5,0.55,16.4,1748.5,0.6,0.4,60,58.06
143,400,246.0,0.6,16.4,1728.0,0.6,0.4,60,55.78
144,390,189.0,0.45,16.8,1775.0,0.6,0.4,60,58.8
145,390,210.0,0.5,16.8,1754.0,0.6,0.4,60,62.29
146,390,231.0,0.55,16.8,1733.0,0.6,0.4,60,58.93
147,390,252.0,0.6,16.8,1712.0,0.6,0.4,60,56.64
148,380,193.5,0.45,17.2,1760.5,0.6,0.4,60,58.03
149,380,215.0,0.5,17.2,1739.0,0.6,0.4,60,61.95
150,380,236.5,0.55,17.2,1717.5,0.6,0.4,60,57.37
151,380,258.0,0.6,17.2,1696.0,0.6,0.4,60,54.31
152,370,198.0,0.45,17.6,1746.0,0.6,0.4,60,57.27
153,370,220.0,0.5,17.6,1724.0,0.6,0.4,60,61.61
154,370,242.0,0.55,17.6,1702.0,0.6,0.4,60,55.82
155,370,264.0,0.6,17.6,1680.0,0.6,0.4,60,51.98
156,360,202.5,0.45,18.0,1731.5,0.6,0.4,60,56.56
157,360,225.0,0.5,18.0,1709.0,0.6,0.4,60,61.3
158,360,247.5,0.55,18.0,1686.5,0.6,0.4,60,54.38
159,360,270.0,0.6,18.0,1664.0,0.6,0.4,60,49.83
160,450,162.0,0.45,14.4,1862.0,0.7,0.3,25,33.83
161,450,180.0,0.5,14.4,1844.0,0.7,0.3,25,36.19
162,450,198.0,0.55,14.4,1826.0,0.7,0.3,25,31.11
163,450,216.0,0.6,14.4,1808.0,0.7,0.3,25,25.71
164,440,166.5,0.45,14.8,1847.5,0.7,0.3,25,34.31
165,440,185.0,0.5,14.8,1829.0,0.7,0.3,25,36.52
166,440,203.5,0.55,14.8,1810.5,0.7,0.3,25,30.27
167,440,222.0,0.6,14.8,1792.0,0.7,0.3,25,25.6
168,430,171.0,0.45,15.2,1833.0,0.7,0.3,25,34.79
169,430,190.0,0.5,15.2,1814.0,0.7,0.3,25,36.85
170,430,209.0,0.55,15.2,1795.0,0.7,0.3,25,29.43
171,430,228.0,0.6,15.2,1776.0,0.7,0.3,25,25.5
172,420,175.5,0.45,15.6,1818.5,0.7,0.3,25,38.27
173,420,195.0,0.5,15.6,1799.0,0.7,0.3,25,37.18
174,420,214.5,0.55,15.6,1779.5,0.7,0.3,25,28.6
175,420,234.0,0.6,15.6,1760.0,0.7,0.3,25,25.4
176,410,180.0,0.45,16.0,1804.0,0.7,0.3,25,35.76
177,410,200.0,0.5,16.0,1784.0,0.7,0.3,25,37.52
178,410,220.0,0.55,16.0,1764.0,0.7,0.3,25,27.77
179,410,240.0,0.6,16.0,1744.0,0.7,0.3,25,25.3
180,400,184.5,0.45,16.4,1789.5,0.7,0.3,25,36.24
181,400,205.0,0.5,16.4,1769.0,0.7,0.3,25,37.85
182,400,225.5,0.55,16.4,1748.5,0.7,0.3,25,26.95
183,400,246.0,0.6,16.4,1728.0,0.7,0.3,25,25.2
184,390,189.0,0.45,16.8,1775.0,0.7,0.3,25,36.69
185,390,210.0,0.5,16.8,1754.0,0.7,0.3,25,38.16
186,390,231.0,0.55,16.8,1733.0,0.7,0.3,25,26.17
187,390,252.0,0.6,16.8,1712.0,0.7,0.3,25,25.11
188,380,193.5,0.45,17.2,1760.5,0.7,0.3,25,35.7
189,380,215.0,0.5,17.2,1739.0,0.7,0.3,25,38.43
190,380,236.5,0.55,17.2,1717.5,0.7,0.3,25,26.01
191,380,258.0,0.6,17.2,1696.0,0.7,0.3,25,23.62
192,370,198.0,0.45,17.6,1746.0,0.7,0.3,25,34.86
193,370,220.0,0.5,17.6,1724.0,0.7,0.3,25,38.66
194,370,242.0,0.55,17.6,1702.0,0.7,0.3,25,25.88
195,370,264.0,0.6,17.6,1680.0,0.7,0.3,25,22.4
196,360,202.5,0.45,18.0,1731.5,0.7,0.3,25,33.81
197,360,225.0,0.5,18.0,1709.0,0.7,0.3,25,38.96
198,360,247.5,0.55,18.0,1686.5,0.7,0.3,25,25.71
199,360,270.0,0.6,18.0,1664.0,0.7,0.3,25,20.76
200,450,162.0,0.45,14.4,1862.0,0.7,0.3,60,41.53
201,450,180.0,0.5,14.4,1844.0,0.7,0.3,60,42.56
202,450,198.0,0.55,14.4,1826.0,0.7,0.3,60,33.94
203,450,216.0,0.6,14.4,1808.0,0.7,0.3,60,25.58
204,440,166.5,0.45,14.8,1847.5,0.7,0.3,60,41.34
205,440,185.0,0.5,14.8,1829.0,0.7,0.3,60,42.72
206,440,203.5,0.55,14.8,1810.5,0.7,0.3,60,33.49
207,440,222.0,0.6,14.8,1792.0,0.7,0.3,60,28.3
208,430,171.0,0.45,15.2,1833.0,0.7,0.3,60,41.15
209,430,190.0,0.5,15.2,1814.0,0.7,0.3,60,42.88
210,430,209.0,0.55,15.2,1795.0,0.7,0.3,60,33.03
211,430,228.0,0.6,15.2,1776.0,0.7,0.3,60,28.01
212,420,175.5,0.45,15.6,1818.5,0.7,0.3,60,40.96
213,420,195.0,0.5,15.6,1799.0,0.7,0.3,60,43.03
214,420,214.5,0.55,15.6,1779.5,0.7,0.3,60,32.58
215,420,234.0,0.6,15.6,1760.0,0.7,0.3,60,27.73
216,410,180.0,0.45,16.0,1804.0,0.7,0.3,60,40.78
217,410,200.0,0.5,16.0,1784.0,0.7,0.3,60,43.19
218,410,220.0,0.55,16.0,1764.0,0.7,0.3,60,32.12
219,410,240.0,0.6,16.0,1744.0,0.7,0.3,60,27.44
220,400,184.5,0.45,16.4,1789.5,0.7,0.3,60,40.59
221,400,205.0,0.5,16.4,1769.0,0.7,0.3,60,43.35
222,400,225.5,0.55,16.4,1748.5,0.7,0.3,60,31.67
223,400,246.0,0.6,16.4,1728.0,0.7,0.3,60,27.16
224,390,189.0,0.45,16.8,1775.0,0.7,0.3,60,40.41
225,390,210.0,0.5,16.8,1754.0,0.7,0.3,60,43.5
226,390,231.0,0.55,16.8,1733.0,0.7,0.3,60,31.24
227,390,252.0,0.6,16.8,1712.0,0.7,0.3,60,26.89
228,380,193.5,0.45,17.2,1760.5,0.7,0.3,60,39.8
229,380,215.0,0.5,17.2,1739.0,0.7,0.3,60,43.84
230,380,236.5,0.55,17.2,1717.5,0.7,0.3,60,32.59
231,380,258.0,0.6,17.2,1696.0,0.7,0.3,60,27.77
232,370,198.0,0.45,17.6,1746.0,0.7,0.3,60,39.19
233,370,220.0,0.5,17.6,1724.0,0.7,0.3,60,44.18
234,370,242.0,0.55,17.6,1702.0,0.7,0.3,60,33.95
235,370,264.0,0.6,17.6,1680.0,0.7,0.3,60,28.65
236,360,202.5,0.45,18.0,1731.5,0.7,0.3,60,38.63
237,360,225.0,0.5,18.0,1709.0,0.7,0.3,60,44.49
238,360,247.5,0.55,18.0,1686.5,0.7,0.3,60,35.2
239,360,270.0,0.6,18.0,1664.0,0.7,0.3,60,29.46
